Sequence,Group,Gate-latch mean (A),Gate-latch SD (A),Closed % (<9.5 A),Open % (>11.5 A),Intermediate %,N frames
seq16,Binder,10.4943,1.3151,21.27,25.86,52.87,12267
seq14,Binder,8.2758,0.4521,97.72,0.06,2.23,12267
seq10,Binder,9.9241,0.5798,17.88,0.84,81.28,12267
seq17,Binder,8.5522,0.7625,89.79,0.42,9.79,12267
seq39,Binder,9.4564,1.4238,41.79,6.79,51.42,12267
seq42,Binder,11.261,1.2794,10.29,46.83,42.88,12267
pair_3069_binder,Binder,9.8214,0.7126,32.94,3.04,64.02,12267
pair_3070_binder,Binder,8.3755,1.1276,83.14,0.06,16.8,12267
pair_3074_binder,Binder,10.5917,0.8001,3.99,12.77,83.24,12267
pair_3092_binder,Binder,8.4784,0.8869,91.64,2.14,6.23,12267
pair_3098_binder,Binder,8.9618,1.2726,64.07,2.93,33.01,12267
pair_3059_binder,Binder,10.7796,1.077,7.95,21.52,70.53,13334
pair_3062_binder,Binder,8.7093,0.7099,87.87,0.46,11.67,13334
pair_3063_binder,Binder,12.5979,2.2921,6.14,58.17,35.69,13334
pair_3066_binder,Binder,10.6745,1.6306,15.2,22.26,62.54,13334
pair_3067_binder,Binder,10.9073,1.5809,19.67,36.81,43.52,13334
pair_3068_binder,Binder,10.658,1.4066,18.59,22.58,58.83,13334
pair_3071_binder,Binder,7.7319,1.3544,88.53,1.31,10.15,13334
pair_3072_binder,Binder,11.9486,0.9039,0.8,70.17,29.02,13334
pair_3073_binder,Binder,12.0772,1.2109,2.44,70.38,27.17,13334
pair_3075_binder,Binder,9.6017,1.0389,46.53,2.89,50.58,13334
pair_3076_binder,Binder,11.1543,1.1366,7.71,41.37,50.92,13334
pair_3077_binder,Binder,9.0709,0.8263,73.33,0.68,25.99,13334
pair_3078_binder,Binder,10.3232,0.862,15.83,10.12,74.04,13334
pair_3079_binder,Binder,10.8583,0.8179,5.26,17.08,77.66,13334
pair_3080_binder,Binder,10.796,1.5764,23.59,35.28,41.14,13334
pair_3085_binder,Binder,9.1516,0.9243,76.12,3.67,20.2,13334
pair_3086_binder,Binder,7.5324,0.9121,99.39,0.0,0.61,13334
pair_3087_binder,Binder,11.4284,1.644,12.79,53.75,33.46,13334
pair_3088_binder,Binder,10.4585,1.8766,39.61,35.63,24.76,13334
pair_3091_binder,Binder,12.4028,1.8791,5.83,64.56,29.61,13334
pair_3099_binder,Binder,11.3621,0.9305,3.58,46.88,49.54,13334
pair_3100_binder,Binder,12.2011,1.5143,0.66,62.95,36.39,13334
pair_3101_binder,Binder,10.8092,1.3731,12.85,31.17,55.98,13334
pair_3103_binder,Binder,8.5987,1.2148,78.62,1.27,20.11,13334
pair_3104_binder,Binder,9.7112,1.5689,45.33,12.35,42.32,13334
pair_3108_binder,Binder,11.2839,1.2685,9.16,47.0,43.84,13334
seq1,False Positive,13.0822,1.7118,4.9,87.48,7.62,12267
seq2,False Positive,11.3764,1.4279,10.29,49.14,40.57,12267
seq3,False Positive,14.7315,2.2436,0.14,91.88,7.98,12267
seq4,False Positive,13.4703,0.9852,0.0,98.73,1.27,12267
seq5,False Positive,13.5041,1.219,0.04,93.13,6.83,12267
seq6,False Positive,13.4023,1.2374,0.22,95.44,4.34,12267
seq7,False Positive,13.5164,3.294,2.02,57.6,40.38,12267
pair_0664_nb,False Positive,11.7786,1.2297,1.61,58.83,39.56,12267
pair_0777_nb,False Positive,8.5349,0.6422,93.25,0.15,6.6,12267
pair_0827_nb,False Positive,8.1471,0.9123,92.2,1.35,6.45,12267
pair_1824_nb,False Positive,10.2715,1.5755,35.48,21.96,42.56,12267
pair_1939_nb,False Positive,7.1809,1.363,90.97,1.24,7.79,12267
pair_0052_nb,False Positive,15.3277,1.9614,1.55,95.53,2.92,13334
pair_0091_nb,False Positive,10.7648,1.9226,21.01,30.47,48.52,13334
pair_0269_nb,False Positive,8.4353,1.2276,80.76,0.46,18.78,13334
pair_0272_nb,False Positive,10.556,1.6046,16.02,25.96,58.02,13334
pair_0008_low_pkt,Low Confidence,10.3752,1.1536,20.93,13.2,65.87,12267
pair_0393_low_pkt,Low Confidence,7.5931,1.5761,84.5,0.82,14.68,12267
pair_0482_low_pkt,Low Confidence,10.4771,0.9989,13.65,13.87,72.49,12267
pair_1331_low_pkt,Low Confidence,9.8706,2.9693,43.15,29.27,27.58,12267
pair_1931_low_pkt,Low Confidence,12.5193,0.5069,0.0,98.23,1.77,12267
pair_0715_fail_gate,Fail Geometry,10.681,1.3998,13.69,27.51,58.8,12267
pair_1094_fail_gate,Fail Geometry,12.6844,1.6608,1.17,78.61,20.22,12267
pair_1682_fail_gate,Fail Geometry,14.1008,1.564,0.28,93.91,5.81,12267
pair_1739_fail_gate,Fail Geometry,10.2504,1.0659,20.84,10.35,68.8,12267
pair_1941_fail_gate,Fail Geometry,13.2588,0.836,0.01,96.53,3.46,12267
